Month,Price
1997-01,3.45
1997-02,2.14
1997-03,1.88
1997-04,2.02
1997-05,2.25
1997-06,2.20
1997-07,2.18
1997-08,2.49
1997-09,2.87
1997-10,3.06
1997-11,3.00
1997-12,2.35
1998-01,2.08
1998-02,2.22
1998-03,2.24
1998-04,2.43
1998-05,2.14
1998-06,2.16
1998-07,2.16
1998-08,1.85
1998-09,2.02
1998-10,1.90
1998-11,2.12
1998-12,1.71
1999-01,1.85
1999-02,1.77
1999-03,1.79
1999-04,2.14
1999-05,2.25
1999-06,2.29
1999-07,2.31
1999-08,2.79
1999-09,2.54
1999-10,2.72
1999-11,2.37
1999-12,2.35
2000-01,2.41
2000-02,2.66
2000-03,2.79
2000-04,3.04
2000-05,3.58
2000-06,4.29
2000-07,3.99
2000-08,4.42
2000-09,5.05
2000-10,5.01
2000-11,5.51
2000-12,8.90
2001-01,8.16
2001-02,5.61
2001-03,5.23
2001-04,5.19
2001-05,4.19
2001-06,3.72
2001-07,3.10
2001-08,2.97
2001-09,2.18
2001-10,2.45
2001-11,2.33
2001-12,2.29
2002-01,2.31
2002-02,2.31
2002-03,3.02
2002-04,3.43
2002-05,3.5
2002-06,3.25
2002-07,2.99
2002-08,3.08
2002-09,3.54
2002-10,4.12
2002-11,4.04
2002-12,4.74
2003-01,5.42
2003-02,7.70
2003-03,5.92
2003-04,5.25
2003-05,5.80
2003-06,5.82
2003-07,5.03
2003-08,4.99
2003-09,4.62
2003-10,4.62
2003-11,4.46
2003-12,6.12
2004-01,6.13
2004-02,5.37
2004-03,5.38
2004-04,5.70
2004-05,6.33
2004-06,6.26
2004-07,5.92
2004-08,5.41
2004-09,5.15
2004-10,6.34
2004-11,6.16
2004-12,6.58
2005-01,6.15
2005-02,6.13
2005-03,6.95
2005-04,7.16
2005-05,6.46
2005-06,7.17
2005-07,7.62
2005-08,9.52
2005-09,11.75
2005-10,13.41
2005-11,10.30
2005-12,13.05
2006-01,8.689
2006-02,7.540
2006-03,6.889
2006-04,7.160
2006-05,6.25
2006-06,6.20
2006-07,6.16
2006-08,7.13
2006-09,4.90
2006-10,5.84
2006-11,7.41
2006-12,6.73
2007-01,6.54
2007-02,8
2007-03,7.11
2007-04,7.59
2007-05,7.63
2007-06,7.34
2007-07,6.21
2007-08,6.21
2007-09,6.08
2007-10,6.74
2007-11,7.09
2007-12,7.11
2008-01,7.99
2008-02,8.53
2008-03,9.41
2008-04,10.1
2008-05,11.2
2008-06,12.6
2008-07,11.0
2008-08,8.25
2008-09,7.66
2008-10,6.74
2008-11,6.67
2008-12,5.82
2009-01,5.24
2009-02,4.51
2009-03,3.95
2009-04,3.5
2009-05,3.83
2009-06,3.79
2009-07,3.37
2009-08,3.14
2009-09,2.99
2009-10,4.00
2009-11,3.66
2009-12,5.34
2010-01,5.83
2010-02,5.32
2010-03,4.29
2010-04,4.03
2010-05,4.13
2010-06,4.79
2010-07,4.62
2010-08,4.32
2010-09,3.89
2010-10,3.43
2010-11,3.70
2010-12,4.25
2011-01,4.49
2011-02,4.08
2011-03,3.97
2011-04,4.24
2011-05,4.30
2011-06,4.54
2011-07,4.41
2011-08,4.05
2011-09,3.89
2011-10,3.56
2011-11,3.24
2011-12,3.16
2012-01,2.66
2012-02,2.50
2012-03,2.16
2012-04,1.94
2012-05,2.43
2012-06,2.45
2012-07,2.95
2012-08,2.83
2012-09,2.85
2012-10,3.31
2012-11,3.54
2012-12,3.33
2013-01,3.33
2013-02,3.33
2013-03,3.81
2013-04,4.16
2013-05,4.04
2013-06,3.83
2013-07,3.62
2013-08,3.43
2013-09,3.62
2013-10,3.68
2013-11,3.64
2013-12,4.24
2014-01,4.70
2014-02,6
2014-03,4.90
2014-04,4.66
2014-05,4.58
2014-06,4.58
2014-07,4.04
2014-08,3.91
2014-09,3.91
2014-10,3.77
2014-11,4.12
2014-12,3.47
2015-01,2.99
2015-02,2.87
2015-03,2.83
2015-04,2.60
2015-05,2.85
2015-06,2.77
2015-07,2.83
2015-08,2.77
2015-09,2.66
2015-10,2.33
2015-11,2.08
2015-12,1.92
2016-01,2.27
2016-02,1.98
2016-03,1.72
2016-04,1.91
2016-05,1.91
2016-06,2.58
2016-07,2.81
2016-08,2.81
2016-09,2.99
2016-10,2.97
2016-11,2.54
2016-12,3.58
2017-01,3.29
2017-02,2.85
2017-03,2.87
2017-04,3.10
2017-05,3.14
2017-06,2.97
2017-07,2.97
2017-08,2.89
2017-09,2.97
2017-10,2.87
2017-11,3.00
2017-12,2.81
2018-01,3.87
2018-02,2.66
2018-03,2.68
2018-04,2.79
2018-05,2.79
2018-06,2.97
2018-07,2.83
2018-08,2.95
2018-09,3
2018-10,3.27
2018-11,4.08
2018-12,4.04
2019-01,3.10
2019-02,2.68
2019-03,2.95
2019-04,2.64
2019-05,2.64
2019-06,2.39
2019-07,2.37
2019-08,2.22
2019-09,2.56
2019-10,2.33
2019-11,2.64
2019-12,2.22
2020-01,2.02
2020-02,1.90
2020-03,1.79
2020-04,1.73
2020-05,1.75
2020-06,1.62
2020-07,1.77
2020-08,2.29
